customer_id,transaction_id,item_id,date,base_price
1,1,1,"2017-12-31",7.0
1,1,1,"2017-12-31",7.0
1,1,2,"2017-12-31",6.50
1,1,3,"2017-12-31",12.99
2,1,2,"2018-01-02",6.50
2,1,4,"2018-01-02",21.99
2,1,5,"2018-01-02",3.00
3,1,2,"2018-10-11",6.50
3,1,2,"2018-10-11",6.50
4,1,5,"2018-11-29",3.00
3,2,2,"2019-11-30",6.50
3,2,3,"2019-11-30",12.99
4,2,1,"2019-12-01",7.0
1,2,6,"2019-06-05",5.50
1,2,4,"2019-06-05",21.99
2,2,7,"2019-03-12",4.50
2,2,8,"2019-03-12",9.99
5,1,1,"2019-12-27",7.0
5,1,2,"2019-12-27",6.50
5,1,3,"2019-12-27",12.99
3,3,7,"2020-01-13",4.50
3,3,8,"2020-01-13",9.99
